1951	Nilla Pizzi	Grazie dei fiori
1952	Nilla Pizzi	Vola colomba
1953	Carla Boni, Flo Sandon’s	Viale d’autunno
1954	Giorgio Consolini, Gino Latilla	Tutte le mamme
1955	Claudio Villa, Tullio Pane,	Buongiorno tristezza
1956	Franca Raimondi	Aprite le finestre
1957	Claudio Villa, Nunzio Gallo	Corde della mia chitarra
1958	Domenico Modugno, Johnny Dorelli	Nel blu dipinto di blu
1959	Domenico Modugno, Johnny Dorelli	Piove (Ciao ciao bambina)
1960	Tony Dallara, Renato Rascel	Romantica
1961	Betty Curtis, Luciano Tajoli	Al di là
1962	Domenico Modugno, Claudio Villa	Addio… addio
1963	Tony Renis, Emilio Pericoli	Uno per tutte
1964	Gigliola Cinquetti, Patricia Carli	Non ho l’età (Per amarti)
1965	Bobby Solo, New Christy Minstrels	Se piangi se ridi
1966	Domenico Modugno, Gigliola Cinquetti	Dio come ti amo
1967	Claudio Villa, Iva Zanicchi	Non pensare a me
1968	Sergio Endrigo, Roberto Carlos Braga	Canzone per te
1969	Bobby Solo, Iva Zanicchi	Zingara
1970	Adriano Celentano, Claudia Mori	Chi non lavora non fa l’amore
1971	Nada, Nicola Di Bari	Il cuore è uno zingaro
1972	Nicola Di Bari	I giorni dell’arcobaleno
1973	Peppino Di Capri	Un grande amore e niente più
1974	Iva Zanicchi	Ciao cara come stai?
1975	Gilda	Ragazza del Sud
1976	Peppino Di Capri	Non lo faccio più
1977	Homo Sapiens	Bella da morire
1978	Matia Bazar	…e dirsi ciao!
1979	Mino Vergnaghi	Amare
1980	Toto Cutugno	Solo noi
1981	Alice	Per Elisa
1982	Riccardo Fogli	Storie di tutti i giorni
1983	Tiziana Rivale	Sarà quel che sarà
1984	Al Bano, Romina Power	Ci sarà
1985	Ricchi e Poveri	Se m’innamoro
1986	Eros Ramazzotti	Adesso tu
1987	Gianni Morandi, Enrico Ruggeri, Umberto Tozzi	Si può dare di più
1988	Massimo Ranieri	Perdere l’amore
1989	Anna Oxa, Fausto Leali	Ti lascerò
1990	Pooh	Uomini soli
1991	Riccardo Cocciante	Se stiamo insieme
1992	Luca Barbarossa	Portami a ballare
1993	Enrico Ruggeri	Mistero
1994	Aleandro Baldi	Passerà
1995	Giorgia	Come saprei
1996	Ron, Tosca	Vorrei incontrarti fra cent’anni
1997	Jalisse	Fiumi di parole
1998	Annalisa Minetti	Senza te o con te
1999	Anna Oxa	Senza pietà
2000	Avion Travel	Sentimento
2001	Elisa	Luce (Tramonti a nord est)
2002	Matia Bazar	Messaggio d’amore
2003	Alexia	Per dire di no
2004	Marco Masini	L’uomo volante
2005	Francesco Renga	Angelo
2006	Povia	Vorrei avere il becco
2007	Simone Cristicchi	Ti regalerò una rosa
2008	Giò Di Tonno, Lola Ponce	Colpo di fulmine
2009	Marco Carta	La forza miav
2010	Valerio Scanu	Per tutte le volte che…
2011	Roberto Vecchioni	Chiamami ancora amore
2012	Emma	Non è l’inferno
2013	Marco Mengoni	L’Essenziale
2014	Arisa	Controvento
2015	Il Volo	Grande Amore
2016	Stadio	Un giorno mi dirai
2017	Francesco Gabbani	Occidentali's Karma
2018	Ermal Meta e Fabrizio Moro	Non mi avete fatto niente