anno	cantanti	titolo	lyrics	sesso
1951	Nilla Pizzi	Grazie dei fiori	tanti fiori in questo giorno lieto ho ricevuto rose rose ma le più belle le hai mandate tu grazie dei fior fra tutti gli altri li ho riconosciuti mi han fatto male eppure li ho graditi son rose rosse e parlano d'amor e grazie ancor che in questo giorno tu m'hai ricordato ma se l'amore nostro s'è perduto perché vuoi tormentare il nostro cuor in mezzo a quelle rose ci sono tante spine memorie dolorose di chi ha voluto bene son pagine già chiuse con la parola fine grazie dei fior fra tutti gli altri li ho riconosciuti mi han fatto male eppure li ho graditi son rose rosse e parlano d'amor grazie dei fior e addio per sempre addio senza rancor	1
1952	Nilla Pizzi	Vola colomba	Dio del Ciel se fossi una colomba Vorrei volar laggiù dov'è il mio amor, Che inginocchiato a San Giusto Prega con l'animo mesto: Fa che il mio amore torni Ma torni presto  Vola, colomba bianca, vola Diglielo tu Che tornerò  Dille che non sarà più sola E che mai più La lascerò  Fummo felici uniti e ci han divisi Ci sorrideva il sole, il cielo, il mar Noi lasciavamo il cantiere Lieti del nostro lavoro E il campanon din don Ci faceva il coro  Vola, colomba bianca, vola Diglielo tu Che tornerò  Tutte le sere m'addormento triste E nei miei sogni piango e invoco te Anche il mi vecio te sogna Pensa alle pene sofferte Piange e nasconde il viso tra le coperte  Vola, colomba bianca, vola Diglielo tu Che tornerò  Diglielo tu Che tornerò.	1
1953	Carla Boni, Flo Sandon’s	Viale d’autunno	lungo un viale ingiallito d'autunno tristemente m' hai detto: è finita è finito l'amor più vero il più puro il più splendido amor ma una lacrima bagna il tuo viso quella lacrima dice al mio cuor: non potrò lasciarti più mai più mai più perché nel mio destino ci sei tu non ci lasceremo mai lo sai lo sai se pure lo vorrai non potrai mai più tutta una vita di dolcezze di tenerezze non può svanir i lunghi baci e le carezze le dolci ebbrezze non san mentir lasciam parlare il cuor che vive in ansietà che trema di timor e vuole questo amor o ne morirà non potrò lasciarti più mai più mai più la gioia ed il dolore sei tu in questo viale senza sole	1
1954	Giorgio Consolini, Gino Latilla	Tutte le mamme	Donne donne donne che l amore trasformerà mamme mamme mamme questo é il dono che Dio ti da tra batuffoli e fasce mille sogni nel cuor per un bimbo che nasce.quante gioie e dolor. son tutte belle le mamme del mondo quando un bambino si stringon al cuor. son le bellezze di un bene profondo fatto di sogni rinunce e d'amor. è tanto bello quel volto di donna che veglia un bimbo e riposo non ha. sembra l'immagine d'una madonna sembra l'immagine della bontà. e gli anni passano i bimbi crescono. le mamme imbiancano ma non sfiorirá la loro beltà. son tutte belle le mamme del mondo grandi tesori di luce e bontà che custodiscono un bene profondo il più sincero dell'umanità. mamme mamme mamme quante pene l'amor vi dà ieri oggi sempre, per voi mamme non c'è pietà. ogni vostro bambino quando uomo sarà verso il proprio destino senza voi se ne andrà. e gli anni passano e i bimbi crescono le mamme imbiancano ma non sfiorirà la loro beltà son tutte belle le mamme del mondo ma sopra tutte più bella tu sei. tu che m'hai dato il tuo bene profondo. e sei la mamma dei bimbi miei.	0
1955	Claudio Villa, Tullio Pane,	Buongiorno tristezza	"buongiorno tristezza lo non sapevo lusinghe d'amore canzoni d'amore veleni d'amore quando in un bacio le chiesi un cuore mi diede un cuore perdetti un cuore d'allora quante monete d'oro quest'occhi le han donato d'allora buongiorno tristezza amica della mia malinconia la strada la sai facciamoci ancor oggi compagnia buongiorno tristezza torniamo dove un giorno t'incontrai e dissi di lei: "" mi vuole ancora bene"" e mi sbagliai piangono le foglie gialle tutte intorno a me chiedono al mormorio dei platani: "" dov'è"" vedendomi con te buongiorno tristezza amica della mia malinconia"	0
1956	Franca Raimondi	Aprite le finestre	la prima rosa rossa è già sbocciata e nascon timide le viole mammole ormai la prima rondine è tornata nel cielo limpido comincia a volteggiar il tempo bello viene ad annunciar aprite le finestre al nuovo sole è primavera è primavera lasciate entrare un poco d'aria pura con il profumo dei giardini e i prati in fior aprite le finestre ai nuovi sogni bambine belle innamorate è forse il più bel sogno che sognate sarà domani la felicità nel cielo fra le nuvole d'argento la luna ha già fissato appuntamento aprite le finestre al nuovo sole è primavera festa dell'amor la la la aprite le finestre al nuovo sol sul davanzale un piccolo usignolo dall'ali tenere le piume morbide ha già spiccato il timido suo volo e contro i vetri ha cominciato a picchiettar il suo più bel messaggio vuol portar è primavera è primavera aprite le finestre ai nuovi sogni alle speranze all'illusione lasciate entrare l'ultima canzone che dolcemente scenderà nel cuor nel cielo fra le nuvole d'argento la luna ha già fissato appuntamento aprite le finestre al nuovo sole è primavera festa dell'amor la la la aprite le finestra al primo amor	1
1957	Claudio Villa, Nunzio Gallo	Corde della mia chitarra	e' tornata l'hanno accolta le stesse cose l'hanno attesa le stesse rose dolce sogno dagli occhi verdi è tornata ma è troppo tardi troppo tardi per chi aspettò corde della mia chitarra se la mano trema sull'accordo se la musica si perde nell' indifferenza d'uno sguardo corde della mia chitarra perchè vi fermate perchè non suonate soltanto per me oh com'era dolce questa musica ohe come adesso sembra inutile se non ci ascolterà non vi fermate corde della mia chitarra suonate per me suonate suonate corde della mia chitarra	0
1958	Domenico Modugno, Johnny Dorelli	Nel blu dipinto di blu	volare oh oh cantare oh oh oh oh let's fly way up to the cloud away from the maddening crowd we can sing in the glow of a star that i know of whew lovers enjoy peace of mind let us leave the confusion and all disillusion behind just like birds of a feather a rainbow together we'll find volare oh oh cantare oh oh oh oh no wonder my happy heart sings your love has given me wings sometimes the world is a valley of heartaches and tears and in the hustle and bustle no sunshine appears but you and i have our love always there to remind us there is a way we can leave all the shadows behind us volare oh oh volare oh volare oh oh cantare cantare oh oh oh oh oh cantare oh oh no wonder my happy heart sings your love has given me wings no wonder my happy heart sings your love has given me wings my happy heart sings volare oh oh	0
1959	Domenico Modugno, Johnny Dorelli	Piove (Ciao ciao bambina)	ciao ciao bambina un bacio ancora e poi per sempre ti perderò come una fiaba l'amore passa c'era una volta poi non c'è più cos'è che trema sul tuo visino è pioggia o pianto dimmi cos'è vorrei trovare parole nuove ma piove piove sul nostro amor ciao ciao bambina non ti voltare non posso dirti rimani ancor come una fiaba l'amore passa c'era una volta poi non c'è più cos'è che trema sul tuo visino è pioggia o pianto dimmi cos'è vorrei trovare parole nuove ma piove piove sul nostro amor	0
1960	Tony Dallara, Renato Rascel	Romantica	Bambina mia sono l'ultimo poeta che s'ispira ad una stella. Bambina mia, sono l'ultimo inguaribile malato di poesia.  E voglio bene a te perché sei come me, romantica.  Tu sei romantica, amarti è un po' rivivere, nella semplicità, nell'irrealtà di un altra età.  Tu sei romantica, amica delle nuvole, che cercano lassù un po' di sol come fai tu.  Tu sei la musica che ispira l'anima sei tu il mio angolo di paradiso per me.  Ed io che accanto a te son ritornato a vivere, a te racconterò, affiderò i sogni miei perché romantica tu sei.  Tu sei la musica che ispira l'anima sei tu il mio angolo di paradiso per me.  Tu sei romantica, amica delle nuvole, a te racconterò, affiderò i sogni miei perché romantica tu sei.	0
1961	Betty Curtis, Luciano Tajoli	Al di là	Al di la del bene più prezioso, ci sei tu… ci sei tu… Al di la del sogno più ambizioso, ci sei tu… ci sei tu… Al di la delle cose più belle, al di la delle stelle ci sei tu, al di la ci sei tu, per me, per me, soltanto per me. Al di la del mare più profondo, ci sei tu… ci sei tu… Al di la dei limiti del mondo, ci sei tu… ci sei tu… Al di la della volta infinita al di Ia della vita ci sei tu, al di la, ci sei tu, per me!	0.5
1962	Domenico Modugno, Claudio Villa	Addio… addio	I miei sorrisi e i tuoi si sono spenti noi camminiamo insieme e siamo soli ci restano soltanto lunghi silenzi che vogliono dire... addio... addio... il nostro amore acqua di mare e' diventata sale le nostre labbra inaridite non hanno piu' parole guardami... guardami lo sai che non è vero non è vero ch'e' finito il nostro amore addio addio addio addio guardami... guardami ascoltami fermati non è vero perché tu stai piangendo perché noi lo sappiamo che ci vogliamo bene che ci vogliamo bene e ci lasciamo addio addio addio addiooooo	0
1963	Tony Renis, Emilio Pericoli	Uno per tutte	Sei quasi fatta per me  dipinta per me  Claudia  però confesso che tu mi piaci di più  Nadia    Di tutte, tutto mi va  u-ulla-lalla  sempre  non so decidermi mai  mi trovo perciò nei guai  vi penso e vedo cieli senza nuvole  e mille mandolini mi accarezzano  poi apro gli occhi e allor mi accorgo che  non c'e non c'e nessuna accanto a me  Innamorato di te desidero te  Laura  non sono bello però che colpa ne ho  Giulia?  Ho sulla bocca per voi  u-ulla-lalla  baci  ed io li dedico a chi  per prima dirà di si	0
1964	Gigliola Cinquetti, Patricia Carli	Non ho l’età (Per amarti)	non ho l'età non ho l'età per amarti non ho l'età per uscire sola con te e non avrei non avrei nulla da dirti perché tu sai molte più cose di me lascia che io viva un amore romantico nell' attesa che venga quel giorno ma ora no non ho l'età non ho l'età per amarti non ho l'età per uscire sola con te se tu vorrai se tu vorrai aspettarmi quel giorno avrai tutto il mio amore per te lascia che io viva un amore romantico nell' attesa che venga quel giorno ma ora no non ho l'età non ho l'età per amarti non ho l'età per uscire sola con te se tu vorrai se tu vorrai aspettarmi quel giorno avrai tutto il mio amore per te	1
1965	Bobby Solo, New Christy Minstrels	Se piangi se ridi	se piangi amore io piango con te perché sono parte di te sorridi sempre se tu non vuoi non vuoi vedermi soffrire mai se ridi amore io rido con te perché tu sei parte di me ricorda sempre: quel che tu fai sopra il mio volto lo rivedrai non sei mai sola anche se tu tu sei lontana da me ogni momento dovunque andrai accanto a te mi troverai se piangi se ridi io sono con te perché sono parte di te ricorda sempre: quel che tu fai sopra il mio volto lo rivedrai ricorda sempre: quel che tu fai sopra il mio volto lo rivedrai	0
1966	Domenico Modugno, Gigliola Cinquetti	Dio come ti amo	nel cielo passano le nuvole che vanno verso il mare sembrano fazzoletti bianchi che salutano il nostro amore dio come ti amo non e possibile avere tra le braccia tanta felicita' baciare le tue labbra che odorano di vento noi due innamorati come nessuno al mondo dio come ti amo mi vien da piangere in tutta la mia vita non ho provato mai un bene cosi' caro un bene cosi' vero chi puo' fermare il fiume che corre verso il mare le rondini nel cielo che vanno verso il sole chi puo fermar l'amore l'amore mio per te dio come ti amo dio come ti amo dio come ti amo dio come ti amo	0.5
1967	Claudio Villa, Iva Zanicchi	Non pensare a me	Non pensare a me,  Continua pure la tua strada senza mai pensare a me.  Tanto, cosa vuoi, c'è stata solo una parentesi fra noi.  Forse piangerò ma in qualche modo, bene o male, tu vedrai,  Mi arrangerò   Anche se mai più sarò felice come quando c'eri tu.  La vita continuerà, il mondo non si fermerà.   Non pensare a me,  Il sole non si spegnerà con te.  Non pensare a me,  Continua pure la tua strada senza mai pensare a me.   Forse piangerò ma in qualche modo, bene o male, tu vedrai,  Mi arrangerò  Anche se mai più sarò felice come quando c'eri tu.  La vita continuerà, il mondo non si fermerà.  Non pensare a me,  Il sole non si spegnerà con te	0.5
1968	Sergio Endrigo, Roberto Carlos Braga	Canzone per te	La festa appena cominciata È già finita Il cielo non è più con noi Il nostro amore era l’invidia di chi è solo Era il mio orgoglio la tua allegria  È stato tanto grande e ormai Non sa morire Per questo canto e canto te La solitudine che tu mi hai regalato Io la coltivo come un fiore  Chissà se finirà Se un nuovo sogno la mia mano prenderà Se a un’altra io dirò Le cose che dicevo a te  Ma oggi devo dire che Ti voglio bene Per questo canto e canto te È stato tanto grande e ormai non sa morire Per questo canto e canto te	0
1969	Bobby Solo, Iva Zanicchi	Zingara	Prendi questa mano, Zingara, Dimmi pure che destino avrò Parla del mio amore, Io non ho paura Perché Lo so Che ormai Non m'appartiene.  Guarda nei miei occhi, Zingara Vedi l'oro dei capelli suoi. Dimmi se ricambia Parte del mio amore, Devi dirlo Questo Tocca a te.  Ma se è scritto che Lo perderò, Come neve al sole Si scioglierà Un amore.  Prendi questa mano, Zingara   Ma se è scritto che Lo perderò, Come neve al sole Si scioglierà Un amore.  Prendi questa mano, Zingara, Leggi pure che destino avrò Dimmi che mi ama, Dammi la speranza, Solo questo Conta Ormai per me. Perdutamente mia  ora più che mai viva  un raggio della luna  caduto su di me Perdutamente tua  d'amore e d'incoscienza  prendimi sotto la pioggia Stringimi sotto la pioggia  la vita ti darò.	0.5
1970	Adriano Celentano, Claudia Mori	Chi non lavora non fa l’amore	Chi non lavora non fa l’amor!  Questo mi ha detto ieri mia moglie!  “Chi non lavora non fa l’amore!”  Questo mi ha detto ieri mia moglie!  A casa stanco, ieri ritornai, mi son seduto …  niente c’era in tavola.  Arrabbiata lei mi grida  che ho scioperato due giorni su tre…  Coi soldi che le do  non ce la fa più e ha deciso che,  lei fa lo sciopero contro di me!  Chi non lavora non fa I’amore!  Questo mi ha detto ieri mia moglie!  Allora andai a lavorare  mentre eran tutti a scioperare!  E un grosso pugno in faccia mi arrivò,  andai a piedi alla guardia medica!  C’era lo sciopero anche del tranvaj…  Arrivo li, ma il dottore non c’è!  E’ in sciopero anche lui!  Che gioco è Ma?! Ma come finirà…  C’è il caos nella città Non so più cosa far!  Se non sciopero mi picchiano!  Se sciopero, mia moglie dice:  “Chi non lavora non fa I’ amore!”  Dammi l’aumento signor padrone  cosi vedrai che in casa tua  e in ogni casa entra l’amore.  Cosi vedrai che in casa tua  e in ogni casa entra l’amore.	0.5
1971	Nada, Nicola Di Bari	Il cuore è uno zingaro	"avevo una ferita in fondo al cuore soffrivo soffrivo… le dissi non è niente ma mentivo piangevo piangevo per te si è fatto tardi è già notte non mi tenere lasciami giù mi disse non guardarmi negli occhi e mi lasciò cantando così: "" che colpa ne ho se il cuore è uno zingaro e va catene non ha il cuore è uno zingaro e va finché troverà il prato più verde che c'è raccoglierà le stelle su di se e si fermerà chissà… e si fermerà"" l' ho vista un anno dopo l'altra sera rideva rideva mi strinse lo sapeva che il mio cuore batteva batteva mi disse stiamo insieme stasera che voglia di rispondere sì… ma senza mai guardarla negli occhi io la lasciai cantando così: "" che colpa ne ho"	0.5
1972	Nicola Di Bari	I giorni dell’arcobaleno	erano i giorni dell'arcobaleno finito l'inverno tornava il sereno e tu con negli occhi la luna e le stelle sentivi una mano sfiorare la tua pelle e mentre impazzivi al profumo dei fiori la notte si accese di mille colori distesa sull'erba come una che sogna giacesti bambina ti alzasti già donna tu adesso ti vedi grande di più sei diventata più forte e sicura e iniziata la avventura ormai sono bambine le amiche di prima che si ritrovano in gruppo a giocare e sognano ancora su un raggio di luna vivi la vita di donna importante perché a sedici anni ai già avuto un amante ma un giorno saprai che ogni donna è matura all'epoca giusta e con giusta misura e in questa tua corsa incontro all'amore ti lasci alle spalle il tempo migliore erano i giorni dell'arcobaleno finito l'inverno tornava il sereno	0
1973	Peppino Di Capri	Un grande amore e niente più	io lontano da te pescatore lontano dal mare io chiedo da bere a una fonte asciugata dal sole solitudine e malinconia i soprammobili di casa mia qualche libro una poesia e sul piano una fotografia io e te un grande amore e niente più io e te le nostre corse fin laggiù là dove c'e la capanna scoperta da noi dove tu mi dicesti vorrei amore vorrei stasera vorrei notti notti d'amore nel silenzio il tuo nome il mio nome ma non risale l'acqua nel fiume nemmeno il tuo amore ritorna da me solitudine e malinconia in ogni angolo in ogni via ti rimprovero una sola cosa che potevi almeno dirmi scusa io e te un grande amore e niente più io e te le nostre corse fin laggiù là dove c'è la capanna scoperta da noi dove tu mi dicesti vorrei amore vorrei stasera vorrei io e te	0
1974	Iva Zanicchi	Ciao cara come stai?	Insieme agli altri lui perde sempre ha perso anche con lei Ladro e poeta ah ah anche in amore lui no non cambia ma-a-a-ai Quando la sera tornava a casa sconfitto più che mai lei lo guardava ah ah lui non capiva pagava solo lei Ciao cara come stai? Lei non risponde più Ciao cara come stai? Lei non lo guarda più muore la speranza è vuota la sua stanza Ciao cara come stai? Non gli ha creduto più Ora sei vinto tu sarai solo quando ti pentirai l'ultimo sbaglio oh oh piega l'orgoglio ma è troppo tardi orma-a-a-ai Senza ragione senza rancore cede al destino lui ed ogni sera ah ah tornando a casa parla a una sedia ormai Ciao cara come stai? Lei non risponde più Ciao cara come stai? Lei non lo guarda più Muore la speranza è vuota la sua stanza Ciao cara come stai? Non gli ha creduto più Ciao cara come stai? Lei non risponde più Ciao cara come stai? Lei non lo guarda più Muore la speranza è vuota la sua stanza Ciao cara come stai? Non gli ha creduto... più	1
1975	Gilda	Ragazza del Sud	Ragazza che ti affretti  perché suona la messa,  cammini a testa bassa,  sorridi a chi conosci.  Sei nata in un paese  di aranci e oleandri,  ti hanno insegnato a credere,  a vivere aspettando… lui…  La treccia non la tagli,  sarà il tuo primo amore  a scioglierti i capelli  e allora tremerai.  Ragazza del Sud,  tu che sogni il mio mondo,  guarda solo il mio viso,  ragazza del Sud.  Al di sotto di quello  che nasconde il sorriso,  guarda in fondo più in fondo:  cento giorni di vita,  mille anni di vita,  il primo bacio I’ho avuto,  non ricordo da chi.  II mio tempo non conta,  no, ragazza del Sud.  Rimani a ricamare  il tuo nome sul lenzuolo,  spiando alla finestra  col primo batticuore.  Ripartirò sognando  forse un poco anch’io,  sempre ch’io sappia  ancora come si fa a sognare.  Ragazza del Sud,  mi chiami signora  e guardi ammirata  i vestiti che ho.  Ragazza del Sud,  darei tutto quanto  per avere il tuo sguardo:  cento giorni di vita,  mille anni di vita,  ho gli stessi tuoi anni,  ma da quando non so.  II mio tempo non conta,  no, ragazza del Sud.	1
1976	Peppino Di Capri	Non lo faccio più	Sincronizzi i movimenti,  ogni gesto è ben studiato;  ti tiri su i capelli  l’ hai di certo programmato.  Chiudi piano piano gli occhi,  forse pensi sia più bello;  hai paura che ti tocchi,  è il tuo primo spogliarello.  E lo scialle della mamma  guarda un po’ che fine fa,  forse lei te l’ ha prestato,  forse invece non lo sa.  La camicia di velluto l  lentamente cade giù, poi mi dici:  “Non sta bene tu non puoi veder di più”.  Copri il corpo con le mani,  cerchi un’ombra al tuo rossore;  sei convinta che mi ami  e non merito il tuo amore.  Ridi e corri per la stanza  ti nascondi ma ti vedo;  sembra il passo di una danza  quel tuo fremere discreto.  E lo scialle della mamma  guarda un po’ che fine fa,  le carezze che ci diamo  mai nessuno le vedrà.  Una perla di sudore  dal tuo viso scende giù,  poi mi dici inutilmente: Giuro, non lo faccio più.	0
1977	Homo Sapiens	Bella da morire	"nei films d'amore vince sempre il bene e chi si lascia torna sempre insieme ma per noi due c'è un'altra fine adesso la folla tra i colombi che ci osserva il freddo i nostri aliti la nebbia e piangere domenica mattina qui per te che sei bella da morire ragazzina tu sul tuo seno da rubare io non gioco più e sei bella da morire tutto sembra un film da girare troppo in fretta con la ""fine"" sopra i tuoi blue-jeans a sedici anni non si perde il cuore nemmeno quando provi a far l'amore e tu con me hai vinto tutto quanto di te rimane solo una maglietta lasciata sopra il letto in tutta fretta e il pianto di domenica mattina qui per te che sei bella da morire ragazzina tu sul tuo seno da rubare io non gioco più e sei bella da morire tutto sembra un film da girare troppo in fretta con la ""fine"" sopra i tuoi blue-jeans e sei bella da morire tutto sembra un film da girare troppo in fretta con la ""fine"" sopra i tuoi blue-jeans"	0.2
1978	Matia Bazar	…e dirsi ciao!	se il sole da lassu' di colpo tinge il blu di buio e se ne va e se il mare azzurro ritmo non ha piu' e onda dopo onda rubera' la spiaggia della mia felicita' e poi se il vento che cantava insieme a noi stonate queste note soffiera' vuol dire separarci e dirsi ciao ma se l'alba spunta e poi anticipando in noi il giorno che verra' e se una rondine dispersa il sole avra' la forza della sua comunita' per continuare il viaggio fino al sud e poi se il fuoco del camino brillera' per sempre con amore e senza eta' vuol dire ritrovarsi e dirsi ciao	0.6666666666666666
1979	Mino Vergnaghi	Amare	Come vuoi, parliamo di progetti se ti va vuoi vivere una vita insieme a me mi parli di coraggio e volontà e cerchi con affanno il mio domani con tanta e tanta voglia di amare. Amare che cosa vuoi che voglia dire amare la vita programmata è forse amare domani ancora uguale. Amare non basta avere vent'anni per amare illudersi che insieme sia migliore e poi sentirsi male. Come sai, un giorno mangia I'altro ed hai l'età diritto di votare e dire no bisogno di campare e dire si e cerchi l'evasione più banale oppure esplodi e addio domani. Amare che cosa vuoi che voglia dire amare la noia quotidiana è forse amare domani ancora uguale. Amare volersi ad ogni costo non è amare illudersi che sia se fai l'amore e poi sentirsi male	0
