anno	cantanti	titolo	lyrics	sesso
1980	Toto Cutugno	Solo noi	E mi diceva, io sto bene con te E mi diceva, tu sei tutto per me. Se non è amore, dimmelo tu, cos'e'? Si addormentava abbracciandosi a me. Mi risvegliava, con un bacio e un caffe' e poi giocava qui nel letto con me. Se non è amore, dimmelo tu, cos'e'? E poi restava a parlare di noi. Solo noi, solo noi. Dimmi che tu mi vuoi. Solo noi, solo noi. Il respiro di noi.  Solo noi, solo noi. Dimmi che nessun uomo ti ha fatto tremar come tremi con me. Solo noi, solo noi. Le montagne, se vuoi. Solo noi, solo noi. Prati verdi, se vuoi. Solo noi, solo noi. Dimmi che non sai stare da sola un minuto se non sei con me. Odio l'aurora ora che non ci sei Scende la sera, entri dentro di me. Se non è dolore, dimmelo tu, cos'e'? Ti penso ancora, ma tu non sei con me. Solo noi, solo noi. Dimmi che è amore? Solo noi, solo noi. La mia mente dov'e'? Solo noi, solo noi. Odio queste lenzuola che in tempo cancella il profumo di te. Solo noi, solo noi. Le montagne non vuoi. Solo noi, solo noi. Prati verdi non vuoi. Solo noi, solo noi. Mi dicevi che non poi restare un minuto lontano da me Solo noi, solo noi. La mia casa non vuoi. Solo noi, solo noi. Vendo tutto se vuoi. Solo noi, solo noi. Odio queste lenzuola che in tempo cancella il profumo di teeee... Solo noi, solo noi. Noi, solo noi... solo noi, solo noi Noi, solo noi... solo noi, solo noi Noi, solo noi, noi... noi... noi... solo noi... solo noi... solo noi Noi, solo noi... solo noi, solo noi Noi, solo noi... solo noi, solo noi Noi, solo noi... noi... noi... noi... solo noi...	0
1981	Alice	Per Elisa	per elisa vuoi vedere che perderai anche me per elisa non sai più distinguere che giorno è e poi non è nemmeno bella per elisa paghi sempre tu e non ti lamenti per lei ti metti in coda per le spese e il guaio è che non te ne accorgi con elisa guardi le vetrine e non ti stanchi lei ti lascia e ti riprende come e quando vuole lei riesce solo a farti male vivere vivere vivere non è più vivere lei ti ha plagiato ti ha preso anche la dignità fingere fingere fingere non sai più fingere senza di lei senza di lei ti manca l'aria senza elisa non esci neanche a prendere il giornale con me riesci solo a dire due parole ma noi un tempo ci amavamo con elisa guardi le vetrine e non ti stanchi lei ti lascia e ti riprende come e quando vuole lei riesce solo a farti male vivere vivere vivere non è più vivere lei ti ha plagiato ti ha preso anche la dignità fingere fingere fingere non sai più fingere senza di lei senza di lei ti manca l'aria vivere non è più vivere per elisa con elisa	1
1982	Riccardo Fogli	Storie di tutti i giorni	m fabrizio/ g morra/ r fogli storie di tutti i giorni vecchi discorsi sempre da fare storie ferme sulle panchine in attesa di un lieto fine; storie di noi brava gente che fa fatica s'innamora con niente vita di sempre ma in mente grandi idee un giorno in più che se ne va un orologio fermo da un'eternità per tutti quelli così come noi da sempre in corsa sempre a metà; un giorno in più che passa ormai con questo amore che non è grande come vorrei storie come amici perduti che cambiano strada se li saluti; storie che non fanno rumore come una stanza chiusa a chiave; storie che non hanno futuro come un piccolo punto su un grande muro dove scriverci un rigo a una donna che non c'è più un giorno in più che se ne va un uomo stanco che nessuno ascolterà per tutti quelli così come noi senza trionfi né grossi guai; un giorno in più che passa ormai con questo amore che non è bello come vorrei storie come anelli di fumo in un posto lontano senza nessuno solo una notte che non finisce mai un giorno in più che se ne va dimenticato tra i rumori di città per tutti quelli così come noi niente è cambiato e niente cambierà; un giorno in più che passa ormai con questo amore che non è forte come vorrei storie di tutti i giorni vecchi discorsi sempre da fare storie ferme sulle panchine in attesa di un lieto fine	0
1983	Tiziana Rivale	Sarà quel che sarà	: Se un giorno il mondo intero cadesse giù mi salverei se solo ci fossi tu c'è la terra, il mare c'è ma anche quello che non c'è so che tu lo inventeresti per me.  Se anche l'acqua poi andasse all'insù ci crederei perché ci credi anche tu, una storia siamo noi con i miei problemi e i tuoi che risolveremo e poi...  Sarà sarà quel che sarà dei nostro amore che sarà prendiamo oggi quel che da e quel che avanza per domani basterà .  E quando avremo qualche anno di più se a dirmi t'amo sarai ancora tu la mia dolce gelosia ti terrà un po' compagnia ogni volta che andrai via.  Sarà sarà quel che sarà del nostro amore che sarà prendiamo oggi quel che da e quel che avanza per domani basterà .  Sarà sarà quel che sarà del nostro amore che sarà prendiamo oggi quel che da e quel che avanza per domani basterà ...	1
1984	Al Bano, Romina Power	Ci sarà	romina: dopo questa vita che si dimentica di te dopo questo cielo senza arcobaleno dopo la malinconia che mi prende a ogni bugia dopo tutta questa voglia di sereno dimmi chi ci sarà al bano: dopo il sogno delle hawaii come i tutti marinai attraverso questo mare di cemento dopo un altro inverno che soffia neve su di me che ho già freddo se non sono accanto a te both: devi crederci ci sarà una storia d'amore ed un mondo migliore ci sarà un azzurro più intenso in un cielo più immenso ci sarà la tua ombra al mio fianco vestita di bianco ci sarà anche un modo più umano per dirsi ti amo di più romina: dopo un oggi che non va dopo tanta vanità e nessuno che ti dà niente per niente al bano: dopo tutto il male che c'è nel mondo intorno a te com'è bello ritrovarti accanto a me both: devi crederci ci sarà una storia d'amore ed un mondo migliore ci sarà un azzurro più intenso in un cielo più immenso ci sarà la tua ombra al mio fianco vestita di bianco ci sarà anche un modo più umano per dirsi ti amo	0.5
1985	Ricchi e Poveri	Se m’innamoro	In questo inverno sotto zero  Come un film in bianco e nero  Se mi innamoro  Metto il maglione e vado fuori  Col pennello e coi colori  E lo coloro  E poi ti porto dove vuoi tu  Un po' più in alto un po' più su  Dove nessuno ci troverà  Su nell'immensità  Se mi innamoro devo fare  Qualche cosa di speciale Pensando a te aprire il cielo per scoprire  Dove il sole va a dormire e darlo a te  E voglio dire a chi non lo sa  Che so cos'è la felicità  Se m'innamoro ma poi perché   Continuo a dire se  Se m'innamoro, se m'innamoro  Se m'innamoro sarà di te  E canterò come canti tu  E ti darò qualche cosa in più  Se mi innamoro dentro di me  Darò la colpa a te  Ma guarda il mondo come è strano  Si stupisce se ti dico che ti amo  Ma se ci togli anche l'amore  Dopo averci tolto tutto, dove andiamo?  L'amore viene l'amore va  Senza l'amore come si fa  Ma se hai paura fai come me  Metti davanti un se  Se mi innamoro se mi innamoro  Se mi innamoro sarà di te	0.5
1986	Eros Ramazzotti	Adesso tu	nato ai bordi di periferia dove i tram non vanno avanti più dove l'aria è popolare è più facile sognare che guardare in faccia la realtà quanta gente giovane va via a cercare più di quel che ha forse perché i pugni presi a nessuno li ha mai resi e dentro fanno male ancor di più ed ho imparato che nella vita nessuno mai ci da di più ma quanto fiato quanta salita andare avanti senza voltarsi mai e ci sei adesso tu a dare un senso ai giorni miei va tutto bene dal momento che ci sei adesso tu ma non dimentico tutti gli amici miei che sono ancora là e ci si trova sempre più soli a questa età non sai non sai ma quante corse ma quanti voli andare avanti senz'arrivare mai e ci sei adesso tu al centro dei pensieri miei la parte interna dei respiri tu sarai la volontà che non si limita tu che per me sei già una rivincita adesso sai chi è quell'uomo che c'è in me nato ai bordi di periferia dove non ci torno quasi più resta il vento che ho lasciato come un treno già passato oggi che mi sei accanto oggi che si sei soltanto oggi che ci sei adesso tu	0
1987	Gianni Morandi, Enrico Ruggeri, Umberto Tozzi	Si può dare di più	in questa notte di venerdì perché non dormi perché sei qui perché non parti per un week-end che ti riporti dentro di te cosa ti manca cosa non hai cos'é che insegui se non lo sai se la tua corsa finisse qui forse sarebbe meglio cosi ma se afferri un'idea che ti apre una via e la tieni con te o ne segui la scia risalendo vedrai quanti cadono giù e per loro tu puoi fare di più in questa barca persa nel blu noi siamo solo dei marinai tutti sommersi non solo tu nelle bufere dei nostri guai perché la guerra la carestia non sono scene viste in t v e non puoi dire lascia che sia perché ne avresti un po colpa anche tu si può dare di più perché é dentro di noi si può dare di più senza essere eroi come fare non so non lo sai neanche tu ma di certo si può dare di più perché il tempo va sulle nostre vite rubando i minuti di un eternità e se parlo con te e ti chiedo di più e' perché te sono io non solo tu si può dare di più perché é dentro di noi si può dare di più senza essere eroi come fare non so non lo sai neanche tu ma di certo si può dare di più come fare non so non lo sai neanche tu ma di certo si può dare di più	0
1988	Massimo Ranieri	Perdere l’amore	e adesso andate via voglio restare solo con la malinconia volare nel suo cielo non chiesi mai chi eri perchè scegliesti me me che fino ad ieri credevo fossi un re perdere l'amore quando si fa sera quando tra i capelli un pò d'argento li colora rischi di impazzire può scoppiarti il cuore perdere una donna e avere voglia di morire lasciami gridare rinnegare il cielo prendere a sassate tutti i sogni ancora in volo li farò cadere ad uno ad uno spezzerò le ali del destino e ti avrò vicino comunque ti capisco e ammetto che sbagliavo facevo le tue scelte chissà che pretendevo e adesso che rimane di tutto il tempo insieme un uomo troppo solo che ancora ti vuol bene perdere l'amore quando si fa sera quando sopra al viso c'è una ruga che non c'era provi a ragionare fai l'indifferente fino a che ti accorgi che non sei servito a niente e vorresti urlare soffocare il cielo sbattere la testa mille volte contro il muro respirare forte il suo cuscino dire è tutta colpa del destino se non ti ho vicino perdere l'amore maledetta sera e raccogli i cocci di una vita immaginaria pensi che domani è un giorno nuovo ma ripeti non me l'aspettavo non me l'aspettavo prendere a sassate tutti i sogni ancora in volo li farò cadere ad uno ad uno spezzerò le ali del destino e ti avrò vicino perdere l'amore	0.5
1989	Anna Oxa, Fausto Leali	Ti lascerò	s bardotti - f berlincioni - f ciani - f fasano - f leali ti lascerò andare ma indifesa come sei farei di tutto per poterti trattenere perchè dovrai scontrarti con i sogni che si fanno quando si vive intensamente la tua età ti lascerò provare a dipingere i tuoi giorni con i colori accesi dei tuoi anni ti aiuterò a sconfiggere i dolori che verranno perchè saranno anche più grandi degli amori che ti avranno e lascerò ai tuoi occhi tutta una vita da guardare ma è la tua vita e non trattarla male ti lascerò crescere ti lascerò scegliere ti lascerò anche sbagliare ti lascerò ti lascerò decidere per chi sarà al tuo fianco piuttosto che permettere di dirmi che sei stanco lo faccio perché in te ho amato l'uomo e il suo coraggio e quella forza di cambiare per poi ricominciare e quando avrò davanti agli occhi altri due occhi da guardare il mio silenzio lo sentirai gridare ti lascerò vivere ti lascerò ridere ti lascerò ti lascerò e lascerò ai tuoi sorrisi la voglia di scoppiare ed il tuo orgoglio lo lascerò sfogare ti lascerò credere ti lascerò scegliere ti lascerò ti lascerò ti lascerò vivere ti lascerò vivere ti lascerò ti lascerò	0
1990	Pooh	Uomini soli	li incontri dove la gente viaggia e va a telefonare col dopobarba che sa di pioggia e la ventiquattro ore perduti nel corriere della sera nel va e vieni di una cameriera ma perché ogni giorno viene sera a volte un uomo è da solo perché ha in testa strani tarli perché ha paura del sesso o per la smania di successo per scrivere il romanzo che ha di dentro perché la vita l'ha già messo al muro o perché in mondo falso è un un uomo vero dio delle città e dell'immensità se è vero che ci sei e hai viaggiato più di noi vediamo se si può imparare questa vita e magari un po' cambiarla prima che ci cambi lei vediamo se si può farci amare come siamo senza violentarci più con nevrosi e gelosie perché questa vita stende e chi è steso dorme o muore oppure fa l'amore ci sono uomini soli per la sete d'avventura perché han studiato da prete o per vent'anni di galera per madri che non li hanno mai svezzati per donne che li han rivoltati e persi o solo perché sono dei diversi dio delle città e dell'immensità se è vero che ci sei e hai viaggiato più di noi vediamo se si può imparare queste donne e cambiare un po' per loro e cambiarne un po' per noi ma dio delle città e dell'immensità magari tu ci sei e problemi non ne hai ma quaggiù non siamo in cielo e se un uomo perde il filo è soltanto un uomo solo	0
1991	Riccardo Cocciante	Se stiamo insieme	ma quante storie ho già vissuto nella vita e quante programmate chi lo sa sognando ad occhi aperti storie di fiumi di grandi praterie senza confini storie di deserti e quante volte ho visto dalla prua di una barca tra spruzzi e vento l'immensità del mare spandersi dentro e come una carezza calda illuminarmi il cuore e poi la neve bianca gli alberi gli abeti l'abbraccio del silenzio colmarmi tutti i sensi sentirsi solo e vivo tra le montagne grandi e i grandi spazi immensi e poi tornare qui riprendere la vita dei giorni uguale ai giorni discutere con te tagliarmi con il ghiaccio dei quotidiani inverni no non lo posso accettare non è la vita che avrei voluto mai desiderato vivere non è quel sogno che sognavamo insieme fa piangere eppure io non credo questa sia l'unica via per noi se stiamo insieme ci sarà un perché e vorrei riscoprirlo stasera se stiamo insieme qualche cosa c'è che ci unisce ancora stasera mi manchi sai mi manchi sai e poi tornare qui riprendere la vita che sembra senza vita discutere con te e consumar così i pochi istanti eterni no non lo posso accettare che vita è restare qui a logorarmi in discussioni sterili giocar con te a farsi male il giorno di notte poi rinchiudersi eppure io non credo questa sia l'unica via per noi se stiamo insieme ci sarà un perché e vorrei riscoprirlo stasera se stiamo insieme qualche cosa c'è che ci unisce ancora stasera mi manchi sai mi manchi sai	0
1992	Luca Barbarossa	Portami a ballare	portami a ballare portami a ballare uno di quei balli antichi che nessuno sa fare più sciogli i tuoi capelli lasciali volare lasciali girare forte intorno a noi lasciati guardare lasciati guardare sei così bella che non riesco più a parlare di fronte a quei tuoi occhi così dolci e così severi perfino il tempo si è fermato ad aspettare parlami di te di quello che facevi se era proprio questa la vita che volevi di come ti vestivi di come ti pettinavi se avevo un posto già in fondo ai tuoi pensieri dai mamma dai questa sera lasciamo qua i tuoi problemi e quei discorsi sulle rughe e sull'età dai mamma dai questa sera fuggiamo via è tanto che non stiamo insieme e non è certo colpa tua ma io ti sento sempre accanto anche quando non ci sono io ti porto ancora dentro anche adesso che sono un uomo e vorrei vorrei saperti più felice sì vorrei vorrei dirti molte più cose ma sai mamma sai questa vita mi fa tremare e sono sempre i sentimenti i primi a dover pagare ciao mamma ciao domani vado via ma se ti senti troppo sola allora ti porto via e vorrei vorrei saperti più felice sì vorrei vorrei dirti molte più cose portami a ballare portami a ballare uno di quei balli antichi che nessuno sa fare nessuno sa fare più	0
1993	Enrico Ruggeri	Mistero	Con gli occhi bene aperti chiediamo un po' d'amore alla persona che vorremmo fare rimanere. E ci facciamo male se la pressione sale poche parole ci precipita il morale giù. Cos'è che ci trascina fuori dalla macchina? Cos'è che ci fa stare sotto ad un portone? Cosa ci prende, cosa si fa quando si ama davvero?  Mistero!  Il gioco si fa duro e non si può dormire e non sappiamo più decidere se ripartire. E batte forte il cuore, anche per lo stupore di non capire l'orizzonte che colore ha. Cos'è che ci cattura e tutto ci moltiplica? Cos'è che nella notte fa telefonare? Quando si chiede, quanto si da? Quando si ama davvero?  Mistero!  Abbiamo già rubato, abbiamo già pagato ma non sappiamo dire quello che sarebbe stato. Ma pace non abbiamo, nemmeno lo vogliamo; nemmeno il tempo di capire che ci siamo gia. Cos'è che ancora ci fa vivere le favole? Chi sono quelli della foto da tenere? Quando si chiede, quanto si da? Quando si ama davvero?  Mistero!  Sarai sincera? Dimmelo, dimmelo. Sarai sincero? Il breve mestiere di vivere è il solo mistero che c'è. Dipende solo da te; prendere la mano è facile. La verità che la vita ti dà è una fredda carezza nel silenzio che c'è.  Cos'è che ci trascina fuori dalla macchina? Cos'è che ci fa stare sotto ad un portone? Cosa ci prende, cosa si fa quando si ama davvero?  Mistero!  Quando si chiede, quando si dà? Quando si ama davvero?  Mistero! Mistero	0
1994	Aleandro Baldi	Passerà	Le canzoni non si scrivono ma nascono da sé son le cose che succedono ogni giorno intorno a noi le canzoni basta coglierle ce n'e' una anche per te che fai più fatica a vivere e non sorridi mai. le canzoni sono zingare e rubano poesie sono inganni come pillole della felicità le canzoni non guariscono amori e malattie ma quel piccolo dolore che l'esistere ci da' passerà, passerà se un ragazzo e una chitarra sono li come te, in città a guardare questa vita che non va che ci ammazza d'illusioni e con l'età delle canzoni passerà su di noi finiremo tutti in banca prima o poi coi perché, i chissà e le angosce di una ricca povertà a parlare degli amori che non hai a cantare una canzone che non sai come fa perché l'hai perduta dentro e ti ricordi solamente passerà ... in un mondo di automobili e di gran velocità per chi arriva sempre ultimo per chi si dice addio per chi sbatte negli ostacoli della diversità le canzoni sono lucciole che cantano nel buio passerà prima o poi questo piccolo dolore che c'e' in te che c'e' in me, che c'e' in noi e ci fa sentire come marinai in balia del vento e della nostalgia a cantare una canzone che non sai come fa ma quel piccolo dolore che sia odio, o che sia amore passerà passerà, passerà anche se farai soltanto la la la passerà, passerà e a qualcosa una canzone servirà se il tuo piccolo dolore che sia odio o che sia amore passerà.	1
1995	Giorgia	Come saprei	come saprei capire l'uomo che sei come saprei scoprire poi le fantasie che vuoi io ci arriverei nel profondo dentro te nei silenzi tuoi emozionando sempre più come saprei stupire l'uomo che sei quando stai lì e non sai che voli prendere come saprei richiamare gli occhi tuoi incollarli ai miei emozionando sempre più nel mondo che solitudini ci dà perché non resti un po' con me come saprei amarti io nessuno saprebbe mai come saprei riuscirci io ancora non lo sai io ci metterò tutta l'anima che ho quanta vita sei da vivere adesso come saprei io vorrei che fosse già pelle il contatto che c'è io vorrei che fossero stelle ogni volta con te come saprei amarti io nessuno saprebbe mai come saprei riuscirci io ancora non lo sai io ci metterò tutta l'anima che ho quanta vita sei da vivere adesso come saprei quanto amore c'è pronto a scoppiare in me quanta vita sei da vivere adesso sì adesso come saprei	0
1996	Ron, Tosca	Vorrei incontrarti fra cent’anni	vorrei incontrarti fra cent' anni tu pensa al mondo fra cent' anni ritrovero' i tuoi occhi neri tra milioni di occhi neri saran belli piu' di ieri vorrei incontrarti fra cent' anni rosa rossa tra le mie mani dolce profumo nelle notti abbracciata al mio cuscino staro' sveglio per guardarti nella luce del mattino uoh questo amore piu' ci consuma piu' ci avvicina uoh questo amore e' un faro che brilla eh eh eh vorrei incontrarti fra cent' anni combattero' dalla tua parte perche' tale e' il mio amore che per il tuo bene sopporterei ogni male vorrei incontrarti fra cent' anni come un gabbiano volero' saro' felice in mezzo al vento perche' amo e sono amato da te che non puoi cancellarmi e cancellarti non posso io voglio amarti voglio averti e dirti quel che sento abbandonare la mia anima chiusa dentro nel tuo petto chiudi gli occhi dolcemente e non ti preoccupare poi entra nel mio cuore e lasciati andare oh questo amore piu' ci consuma piu' ci avvicina oh questo amore e' un faro che brilla in mezzo alla tempesta oh in mezzo alla tempesta senza aver paura mai vorrei incontrarti fra cent' anni tu pensa al mondo fra cent' anni ritrovero' i tuoi occhi neri tra milioni di occhi neri saran belli piu' di ieri	0.5
1997	Jalisse	Fiumi di parole	ah ah ah ah ah ah ah ah ah ah ah ah  Mi aspetto mille scuse  come sempre da te  sei un fiume di parole  dove anneghi anche me  che bravo che sei  ma questo linguaggio da talk show  cosa centra con noi.  Provo l'unico rimedio  che adotto da un po'  la mia testa chiude l'audio  la storia la so.  Sei fatto così  dovrei limitarmi oramai  a dirti di sì  Fiumi di parole  fiumi di parole tra noi  prima o poi ci portano via  ti darò il mio cuore  ti darò il mio cuore se vuoi  se puoi ora parla con lui  ora parla con lui.  Tu che gridi in un dialetto  che non piu' è il mio  io che perdo il tuo rispetto  sarebbe meglio un addio  è come in un film   il classico film dove lei  farà la pazzia  Fiumi di parole  fiumi di parole tra noi  prima o poi ci portano via  ti darò il mio cuore  ti darò il mio cuore se vuoi  se puoi ora parla con lui  Vorrei fermare un'immagine  sentirla entrare dentro di me  un tuo silenzio più complice  vorrei.  Fiumi di parole, fiumi di parole  prima o poi ci portano via  ti darò il mio cuore  ti darò il mio cuore se vuoi  se puoi ora parla con lui  Fiumi di parole  fiumi di parole tra noi  prima o poi ci portano via  ti darò il mio cuore  ti darò il mio cuore se vuoi  se puoi ora parla con lui  ora parla con lui  ah ah ah ah  Fiumi di parole  fiumi di parole tra noi  prima o poi ci portano via  Fiumi di parole	1
1998	Annalisa Minetti	Senza te o con te	"Cerco sulla radio  la mia ""onda del cuore""  gioco col mio gatto  per sentire rumore  sono solo attimi...    Proprio difficili  Sola in questa stanza  grigia senza colori  laura sta cantando  storie di strani amori  sono solo attimi  proprio difficili  Ti cerco nei miei  mille pensieri  Ricordi com'eri  ti perdo  e non ti ho avuto mai  Senza te  Sento che  la mia vita  è difficile ma  non è finita  in salita lo so  penso che ce la farò  senza te  o con te  io volerò  senza te  sento che  la mia vita  è difficile ma  non è finita  qualche cosa farò  anche se poi sbaglierò  senza te  io volerò  Poi mi viene in mente  una fotografia  immagini sbiadite  della nostra allegria  sono solo attimi...  proprio difficili  Ti cerco nei miei mille pensieri  ricordi com'eri  ti perdo e non ti ho avuto mai  Senza te sento che  la mia vita  è difficile ma  non è finita  in salita lo so  penso che ce la farò  senza te o con te  io volerò  Qualche cosa farò  anche se poi sbaglierò  senza te o con te  io volerò  senza te... o con te"	1
1999	Anna Oxa	Senza pietà	non ci fermeranno le paludi o la neve la tua capitale oramai s'intravede giorno dopo giorno la tua vita cavalco sono il generale più crudele del fronte non faccio prigionieri e la mia spada è lucente terra dopo terra ogni tua fortezza io assalto ti troverò ti prenderò ti porterò per sempre con me ti stringerò conquisterò proteggerò e senza pietà io ti amerò con tutto questo amore mio e senza pietà diventerò una fonte nel deserto ti disseterò  le mie mani le tue mani in questa battaglia è un agguato a tradimento in questa boscaglia rotolare insieme lungo il fiume dei sentimenti ti troverò ti prenderò ti porterò per sempre con me ti stringerò ti conquisterò proteggerò e senza pietà io ti amerò con tutto questo amore mio e senza pietà diventerò una fonte nel deserto ti disseterò ponte non avere paura di me anche il buio più fondo può valere un azzardo quel brivido in più che sei tu senza pietà io ti amerò con tutto questo amore mio e senza pietà diventerò il tuo regno dolce sogno io ti vincerò io ti darò me stessa e questo cuore mio e senza pietà ti bagnerò le labbra con le labbra ti disseterò senza pietà	0
