playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Grazie dei fiori,1AX7J0yLgr8omfK9fnQCBH,Nilla Pizzi,Sanremo Story 1951,https://i.scdn.co/image/b7dc55c8d03f0d69ac26609c205b314714dfd087,1,0.225,0.153,D#,-16.924,major,0.0384,0.982,0.0291,0.314,0.262,169.941,226604,4,D# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Vola colomba,1nS7PNnOv8BEGazxQqvPKO,Nilla Pizzi,Sanremo Story 1952,https://i.scdn.co/image/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87d,0,0.334,0.0314,C,-17.879,major,0.0725,0.995,0.245,0.138,0.238,177.084,209676,3,C major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Viale d'autunno,6jAsLr1NDAdcH7wbK2eOlJ,Carla Boni,Sanremo Story 1953,https://i.scdn.co/image/f18d8f92e925c89caacf65f51925c0a69412abb2,0,0.272,0.178,A#,-13.359,minor,0.0425,0.957,0,0.348,0.207,80.798,199227,3,A# minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Viale d'autunno,6jxjWXitoTuVsOf7hhkHnx,Flo Sandon's,Flo Sandon's Collection,https://i.scdn.co/image/e39a814b141f80791d27af68a41f8e4b6c84bdf4,0,0.425,0.0763,C,-14.565,minor,0.0436,0.944,0,0.213,0.238,109.031,225628,4,C minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Tutte le mamme,1D665njPFTDuZsWxmcgQz8,Gino Latilla,Sanremo Story 1954,https://i.scdn.co/image/d0cdc2fb08c7ddb63405cb404d6c5cece27827e2,0,0.34,0.154,D#,-16.617,major,0.0356,0.991,0.663,0.104,0.294,78.906,208747,3,D# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Tutte le mamme,6vMd71SxAIUxTwPlLntDv0,Giorgio Consolini,Giorgio Consolini: tutte le mamme,https://i.scdn.co/image/c7964cd55bd3c821c698f064dab82a430a929061,1,0.42,0.171,G#,-13.537,major,0.0393,0.985,1.48e-5,0.35,0.501,77.626,196232,5,G# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Buongiorno tristezza,6j171QYbpSSbNDD2CFjM7x,Claudio Villa,Sanremo Story 1955,https://i.scdn.co/image/5188007ac91a2df9ea196b227aa74a1abe6e853e,0,0.218,0.193,C,-15.413,minor,0.043,0.99,0.3,0.108,0.142,80.997,192610,4,C minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Buongiorno tristezza,0EiVM1J2BLTjBOJJefOKYH,Tullio Pane,Il Festival di Sanremo: Charts 1955,https://i.scdn.co/image/9e47b226c022f023e52b9c4572b957c975862a20,0,0.185,0.218,C,-15.882,minor,0.0472,0.985,0.0388,0.325,0.159,73.974,215165,3,C minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Aprite le finestre,7gngM4fuUDwWqBX03pV4Sx,Franca Raimondi,Sanremo Story 1956,https://i.scdn.co/image/bc3e426243f38e8a194dbbe73ae3458ecc217a28,0,0.793,0.191,D,-12.977,major,0.0648,0.794,0,0.0717,0.909,122.099,162099,4,D major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Corde della mia chitarra,6CyO5YmI9utU16RGJptCjc,Claudio Villa,Sanremo Story 1957,https://i.scdn.co/image/16ab17c5907070497a7ddb182ae6e7ecfaba391a,0,0.342,0.0935,G,-15.452,major,0.0449,0.978,0,0.227,0.202,167.97,173383,3,G major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Corde della mia chitarra,6JGrxRkS3YNgcVpgSAiQEZ,Nunzio Gallo,Corde della mia chitarra,https://i.scdn.co/image/e6c6bf6e4fd42e37daaff925543101d2b7920546,0,0.4,0.315,G,-7.837,major,0.0387,0.971,0.0257,0.17,0.243,114.87,202083,3,G major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Nel blu dipinto di blu - Volare,6PReO6tBSz0eaiBH4OUuBD,Domenico Modugno,Sanremo Story 1958,https://i.scdn.co/image/8cffd382752613da05c979f1be6efc502876afb0,1,0.524,0.066,A#,-17.687,major,0.0459,0.951,1.98e-6,0.281,0.417,63.572,215713,4,A# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Nel blu dipinto di blu - Volare,0VQ3MYFzlP7v9MW0nfDqEO,Johnny Dorelli,Il festival di Sanremo: Charts 1958,https://i.scdn.co/image/d267be1f828150125e5644cd52aa75c57ed87a1f,0,0.457,0.141,A#,-17.381,major,0.0522,0.983,5.64e-4,0.162,0.413,122.125,187773,4,A# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Piove,2YQX5Caa77BzSpLo6mmb5a,Domenico Modugno,Piove,https://i.scdn.co/image/818253b8eec4b33b75878dfdc1840f4666b7ed5e,0,0.314,0.426,D,-12.134,major,0.0408,0.817,1.83e-6,0.0976,0.395,127.767,185234,4,D major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Piove,5HXIewQynkMB7xilKhlirA,Johnny Dorelli,"Sanremo Story, Vol. 1",https://i.scdn.co/image/aa9946f96bf2ce63d4bb42df0d2dfb9777e0b178,0,0.373,0.313,C,-9.541,major,0.046,0.951,0,0.101,0.224,122.219,197460,4,C major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Romantica,2s62oaSjvN7VBVgZ1RiVX9,Tony Dallara,Sanremo story 1960,https://i.scdn.co/image/de4e9206feeef68e5cdc811e6cfc694969509d68,0,0.333,0.306,D,-12.462,major,0.0308,0.805,0,0.205,0.477,102.333,199622,4,D major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Romantica,0rIRQzND7Ygkc8dD4Up26P,Renato Rascel,Italy - 100 Romantic Classics,https://i.scdn.co/image/5492176a58832251eafeaf412a4e8f4a7c307fd3,0,0.227,0.293,G,-12.06,major,0.0317,0.964,0.791,0.091,0.0876,86.457,242440,4,G major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Al di là,4AZrGY8svkIylX1aPJY7LB,Betty Curtis,Le più belle canzoni,https://i.scdn.co/image/3c881d69564a602943cfd5a8c839ce264898df6a,5,0.237,0.232,G#,-11.582,major,0.032,0.872,0,0.2,0.152,81.093,249360,4,G# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Al di là,1pGs3w5LgKmMQXEDwvTEMV,Luciano Tajoli,Luciano Tajoli: Le grandi voci della canzone italiana,https://i.scdn.co/image/1373ef77fe38ecc9f0e66eed3a0e676309577eb7,0,0.348,0.329,C#,-8.653,major,0.0287,0.691,0,0.0791,0.393,91.64,178667,4,C# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Addio... addio,08oziGMPx2H8bVgTanwwj3,Domenico Modugno,Stasera pago io,https://i.scdn.co/image/23e0c950585bd9e8c0901dadd1a4c5d99af3b486,1,0.23,0.204,C,-9.536,minor,0.0313,0.476,0,0.199,0.297,173.49,206240,4,C minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Addio...addio,1YG0S83N2nnx3OHJ1xawKS,Claudio Villa,Claudio Villa ed i suoi più grandi successi (78 canzoni),https://i.scdn.co/image/7bae70f82a5c92e47632f99dfe59aa1bb2b831db,5,0.319,0.169,D,-10.671,minor,0.03,0.986,2e-5,0.0901,0.102,70.635,250840,4,D minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Uno per tutte,4f3KHR3AMke3WmaciwlCLp,Tony Renis,Festival di Sanremo 1963,https://i.scdn.co/image/5e9b5e811858b001095021ccc11e7c002f6c7869,1,0.529,0.411,A,-8.637,minor,0.0329,0.474,0,0.284,0.499,116.737,220288,4,A minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Uno Per Tutte,6w00fEwmuCLlmiqg7Qi1KF,Emilio Pericoli,"Berlin, Berlin",https://i.scdn.co/image/f8bfdbfdb253f4710a75beb9af6124e012fcb5e8,1,0.734,0.464,C,-7.786,major,0.0434,0.804,0.0123,0.133,0.715,134.841,180253,4,C major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Non ho l'età,6wQt2YhUmfJozHZ1cMCpQz,Gigliola Cinquetti,"Top '60 Hits Made in Italy, Vol. 2",https://i.scdn.co/image/9246f52431ea54b484243d7b5cf9f98e60ba0cec,6,0.412,0.205,F,-13.773,major,0.0297,0.923,0.0146,0.222,0.432,96.899,199840,4,F major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Non ho l'età,4qErD1cvH5WaVuqjdZZi3m,Patricia Carli,"Canta Italia, vol. 1",https://i.scdn.co/image/d0187df14ebdf270818692f469b776f567be0801,0,0.587,0.267,F,-13.324,major,0.0297,0.856,8.5e-5,0.118,0.437,102.264,178956,3,F major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Se Piangi Se Ridi,04r25eg2V9NLWEhEkjOx5X,Bobby Solo,San Remo Hits Volume 12,https://i.scdn.co/image/e5280967989d0f6bdfed10c87af69598a371b9d7,0,0.244,0.258,A,-13.204,major,0.036,0.881,1.08e-6,0.132,0.203,177.282,178760,3,A major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Dio Come Ti Amo,3MOKAZhnyclL6p84EMOkoG,Domenico Modugno,Canta Sus Mejores Canciones,https://i.scdn.co/image/98127c51d8c30b32ee6a0e8388362f2cd293569a,4,0.393,0.202,A,-14.565,minor,0.0381,0.847,0.00796,0.123,0.32,99.531,205520,4,A minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,"Dio, Come Ti Amo",4YN1yE15DfJpOEtIO2uUI4,Gigliola Cinquetti,La Regina Di San Remo,https://i.scdn.co/image/8e77ca1d756a472928a2e64f3e1bd5c601a00165,35,0.364,0.288,F,-7.61,minor,0.0295,0.85,5.56e-6,0.361,0.143,95.439,198160,4,F minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Non pensare a me,3abzVp5QKFDFyLhxZm7W5X,Claudio Villa,"Il meglio di Claudio Villa, vol. 2",https://i.scdn.co/image/b2c938b130a905847acbdf668a9dd65f80a448d8,19,0.252,0.313,G,-14.344,major,0.0366,0.356,0,0.384,0.189,94.738,162533,4,G major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Non pensare a me,74z7wqukb3iycqBI9bzSJ2,Iva Zanicchi,"Italian Classics: Iva Zanicchi Collection, Vol. 1",https://i.scdn.co/image/f688f6006c3c79153c7fc8a13383d3b996ce16dd,4,0.258,0.398,A#,-6.137,major,0.0287,0.712,0,0.0797,0.178,84.012,176240,4,A# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Canzone Per Te - Versão Remasterizada,5fPs5LhexhH4dYgUyw4JoY,Roberto Carlos,San Remo 1968 (Remasterizado),https://i.scdn.co/image/eb9df9fe874ba791c7187c161747dc9795a7a356,18,0.279,0.368,A,-7.239,major,0.0306,0.59,7.86e-4,0.197,0.466,104.718,184733,1,A major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Zingara,6kHloHRxmsbWh8sEbDdooI,Bobby Solo,Super Best (Remastered),https://i.scdn.co/image/436036161d361957b808a7d5d24cd5cf12b9d661,2,0.565,0.633,C,-5.433,minor,0.0274,0.763,4.01e-6,0.112,0.702,98.853,163788,3,C minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Zingara,4errMlpDiqr9cO0V16MLjQ,Iva Zanicchi,Festival Di Sanremo Vol. 2,https://i.scdn.co/image/5a5310396a505e3d453812bd6eaa4374e3499ae7,0,0.272,0.399,A#,-12.635,major,0.0387,0.697,0,0.073,0.566,204.324,156e3,3,A# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Chi Non Lavora Non Fa L'Amore - Remastered,5QNEUi7oFTKcOrEMzLA9uV,Claudia Mori,Claudiamoricollection,https://i.scdn.co/image/5e861ab7f5203f73be06fa202583f09baf522433,8,0.481,0.891,B,-5.513,minor,0.0753,0.0957,1.09e-4,0.164,0.74,111.44,178627,4,B minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Il cuore è uno zingaro,6btqpuwCTK96dSc7TpShgk,Nada,Italian Love Songs,https://i.scdn.co/image/8b640279ba1b883c862dfba47571b76bcac21c7c,24,0.539,0.46,A#,-7.536,major,0.0254,0.429,0,0.258,0.678,104.092,233880,4,A# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Il Cuore E' Uno Zingaro (El Corazon Es Un Gitano),5DRD6ORAoilGd5bTuzOG8D,Nicola Di Bari,Serie Platino,https://i.scdn.co/image/9643dd78a32adedcd9ab2e313335cc70b9ab12a6,37,0.554,0.463,D,-11.319,major,0.0266,0.761,8.19e-4,0.187,0.666,104.545,192533,4,D major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,I Giorni Del Arcobaleno (Los Dias Del Arcoiris),0oNTJpKhjSGg4XCmaZtrRl,Nicola Di Bari,Serie Platino,https://i.scdn.co/image/9643dd78a32adedcd9ab2e313335cc70b9ab12a6,9,0.472,0.218,C#,-13.678,major,0.0323,0.617,1.67e-4,0.221,0.246,93.888,181667,4,C# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Un Grande Amore E Niente Più,23jtJJJHw9lJecTueJzWqm,Peppino Di Capri,Collection - Se Non E' Amore,https://i.scdn.co/image/7b5aa41f7bd9e500562dfa893e37513cc1f2f3e7,3,0.504,0.445,E,-11.479,minor,0.0274,0.543,0,0.186,0.325,108.621,193573,4,E minor
